"site","year","TRT","class","count","clickr","site_year","tier1","tier2","tier3"
"111","1509","REM","Caulerpa",14,"CA","111_1509","noncalcifying","other.noncalcifying","other.noncalcifying"
"113","1509","XSP","Caulerpa",6,"CA","113_1509","noncalcifying","other.noncalcifying","other.noncalcifying"
"115","1509","BYSP","Caulerpa",5,"CA","115_1509","noncalcifying","other.noncalcifying","other.noncalcifying"
"117","1509","RAN","Caulerpa",11,"CA","117_1509","noncalcifying","other.noncalcifying","other.noncalcifying"
"119","1509","CON","Caulerpa",1,"CA","119_1509","noncalcifying","other.noncalcifying","other.noncalcifying"
"121","1509","CON","Caulerpa",1,"CA","121_1509","noncalcifying","other.noncalcifying","other.noncalcifying"
"123","1509","XSP","Caulerpa",5,"CA","123_1509","noncalcifying","other.noncalcifying","other.noncalcifying"
"127","1509","BYSP","Caulerpa",6,"CA","127_1509","noncalcifying","other.noncalcifying","other.noncalcifying"
"129","1509","REM","Caulerpa",3,"CA","129_1509","noncalcifying","other.noncalcifying","other.noncalcifying"
"101","1510","REM","Caulerpa",8,"CA","101_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"103","1510","RAN","Caulerpa",7,"CA","103_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"105","1510","BYSP","Caulerpa",15,"CA","105_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"107","1510","XSP","Caulerpa",5,"CA","107_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"109","1510","RAN","Caulerpa",10,"CA","109_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"111","1510","REM","Caulerpa",12,"CA","111_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"113","1510","XSP","Caulerpa",8,"CA","113_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"115","1510","BYSP","Caulerpa",2,"CA","115_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"117","1510","RAN","Caulerpa",10,"CA","117_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
